1,1002,416,460,130,30,30,1,30
1,1002,428,459,100,30,30,1,30
2,1002,552,489,255,100,50,1,50
3,1002,418,682,200,100,300,1,300
4,1002,242,558,140,90,200,1,200
5,1002,98,325,90,175,250,1,250
6,1011,317,77,150,50,25,1,10
7,1011,328,227,200,300,25,1,15
7,1011,107,325,180,100,25,1,15
8,1011,538,272,110,250,25,1,15
9,1011,532,768,100,60,4,1,13
9,1011,673,638,100,70,4,1,15
10,1020,608,556,171,144,25,1,15
11,1020,412,230,198,211,25,1,15
12,1020,200,177,150,169,25,1,15
13,1020,232,460,224,142,25,1,15
15,1000,776,561,110,110,20,1,15
15,1000,504,333,170,140,20,1,15
16,1000,250,134,145,280,25,1,15
17,1000,122,269,108,150,25,1,15
18,1015,642,662,120,120,50,1,100
18,1015,704,647,100,120,75,1,100
19,1015,456,681,90,100,7,1,50
19,1015,263,103,96,42,3,1,50
20,1001,309,597,44,51,5,1,11
20,1001,257,549,40,63,5,1,11
20,1001,207,518,40,30,5,1,11
20,1001,317,514,25,26,5,1,11
20,1001,241,473,62,55,5,1,11
20,1001,362,605,36,30,5,1,11
55,1015,362,469,192,117,25,1,15
55,1015,335,329,96,70,25,1,15
56,1001,388,371,40,24,5,1,11
56,1001,220,347,38,24,5,1,11
56,1001,347,378,30,26,5,1,11
56,1001,253,304,70,53,5,1,11
56,1001,329,343,26,25,5,1,11
56,1001,320,425,90,64,5,1,11
57,1001,162,319,65,60,5,1,11
57,1001,52,323,35,25,5,1,11
57,1001,85,279,70,40,5,1,11
57,1001,101,353,40,63,5,1,11
57,1001,153,401,90,63,5,1,11
58,1001,232,175,37,24,5,1,11
58,1001,333,253,90,63,5,1,11
58,1001,342,171,46,60,5,1,11
58,1001,265,131,67,41,5,1,11
58,1001,276,196,45,72,5,1,11
64,1002,98,325,90,175,10,1,39
65,1011,317,77,150,50,5,1,39
66,1011,107,286,180,100,10,1,39
67,1011,538,272,110,250,17,1,39
68,1011,532,768,100,60,4,1,33
68,1011,673,638,100,70,4,1,39
69,1020,608,556,171,144,15,1,39
70,1020,412,230,198,211,25,1,39
71,1020,200,177,150,169,15,1,39
72,1020,232,460,224,142,19,1,39
